epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,660.807,0.67997,0.1718,0.12225,0.90183,1.24572,0.68758,0.80723,0.76996,0.46246,0.90415,0.92771,0.9734,0.96673,1.18492,0.11252,0.00564,1.02886,1.78876,0.0016766,0.0016766,0.0016766
51,673.558,0.74837,0.16156,0.11956,0.90877,1.28338,0.76702,0.83296,0.85321,0.50385,0.94148,0.96914,0.99048,0.98,1.12194,0.11985,0.00924,0.93682,1.75721,0.00167,0.00167,0.00167
52,686.388,0.72445,0.16474,0.11363,0.90618,1.30134,0.75642,0.86747,0.85795,0.48927,0.92067,0.90361,0.97782,0.97175,1.20037,0.10325,0.01014,0.97528,1.8329,0.0016634,0.0016634,0.0016634
53,699.163,0.70384,0.17865,0.11953,0.91118,1.25561,0.7842,0.77711,0.85384,0.52932,0.93889,0.96988,0.98964,0.98021,1.12876,0.10997,0.00668,0.81758,1.76639,0.0016568,0.0016568,0.0016568
54,711.974,0.69676,0.17321,0.11468,0.90487,1.25581,0.81726,0.81325,0.83468,0.47941,0.98196,0.98361,0.99441,0.98901,1.23696,0.09158,0.01059,0.82723,2.02291,0.0016502,0.0016502,0.0016502
55,724.797,0.72138,0.15044,0.11318,0.89843,1.26935,0.80722,0.80718,0.89164,0.56286,0.948,0.98795,0.99211,0.98546,1.04188,0.09425,0.00413,0.81344,1.68912,0.0016436,0.0016436,0.0016436
56,737.799,0.67329,0.14882,0.11625,0.9143,1.23328,0.78633,0.83735,0.89757,0.54488,0.93777,0.90781,0.97912,0.97284,1.09007,0.11451,0.00302,0.86188,1.7171,0.001637,0.001637,0.001637
57,750.586,0.68107,0.15119,0.10977,0.89734,1.24123,0.78395,0.83062,0.83061,0.52575,0.94217,0.94578,0.98594,0.97953,1.06179,0.1037,0.00467,0.88107,1.67738,0.0016304,0.0016304,0.0016304
58,763.359,0.68424,0.1508,0.10908,0.88697,1.24297,0.69014,0.87212,0.82021,0.52382,0.88258,0.93976,0.96457,0.94547,1.06834,0.11965,0.00193,0.82849,1.72504,0.0016238,0.0016238,0.0016238
59,776.232,0.67186,0.13932,0.10555,0.87857,1.24025,0.78029,0.77108,0.78421,0.49018,0.96172,0.95783,0.98897,0.98272,1.11509,0.09728,0.00681,0.93348,1.80455,0.0016172,0.0016172,0.0016172
