epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1143.37,0.10344,0.54886,0.18417,0.25788,0.90441,0.99496,0.98418,0.99371,0.99371,0.99496,0.98418,0.99371,0.79836,0.16073,0.47966,0.07942,0.2717,0.23728,0.00125923,0.00125923,0.00125923
38,1173.47,0.09907,0.57209,0.17782,0.25767,0.90066,0.98056,0.97778,0.98294,0.97607,0.98056,0.97778,0.98294,0.75386,0.2325,0.57221,0.17488,0.34458,0.33317,0.00125452,0.00125452,0.00125452
39,1203.77,0.10071,0.56592,0.17755,0.25608,0.90277,0.98619,0.99981,0.99331,0.98008,0.88425,0.89729,0.82405,0.71009,0.20984,0.5806,0.10794,0.34902,0.27429,0.0012498,0.0012498,0.0012498
40,1233.97,0.1009,0.54453,0.17185,0.25818,0.89911,0.97021,0.95556,0.986,0.986,0.97021,0.95556,0.986,0.77952,0.15374,0.48809,0.09749,0.29312,0.24872,0.00124509,0.00124509,0.00124509
41,1264.11,0.09928,0.58789,0.17019,0.24092,0.90157,0.99254,1,0.99402,0.98933,0.99254,1,0.99402,0.8168,0.18791,0.37429,0.13367,0.34489,0.28189,0.00124037,0.00124037,0.00124037
42,1294.36,0.09879,0.54731,0.17007,0.25465,0.89944,0.98296,1,0.99381,0.94121,0.96076,0.97778,0.96823,0.74538,0.19945,0.49564,0.10511,0.34643,0.26473,0.00123566,0.00123566,0.00123566
43,1324.64,0.10336,0.5477,0.17296,0.25926,0.8943,0.98786,0.99729,0.99311,0.93731,0.94107,0.95014,0.92413,0.76281,0.27285,0.64902,0.05815,0.50041,0.31213,0.00123094,0.00123094,0.00123094
44,1354.85,0.1016,0.5706,0.17167,0.25356,0.90304,0.98694,1,0.9943,0.98641,0.98694,1,0.9943,0.82182,0.18508,0.41936,0.08922,0.27028,0.255,0.00122622,0.00122622,0.00122622
45,1385.16,0.09842,0.51984,0.16324,0.23567,0.89872,0.99062,1,0.99381,0.99009,0.99062,1,0.99381,0.80743,0.16131,0.39668,0.07222,0.32695,0.24956,0.00122151,0.00122151,0.00122151
46,1415.42,0.09417,0.53019,0.16762,0.23349,0.90227,0.99067,0.97778,0.99342,0.99342,0.99067,0.97778,0.99342,0.82973,0.18011,0.41835,0.24101,0.41112,0.25329,0.00121679,0.00121679,0.00121679
47,1445.76,0.09431,0.50542,0.16112,0.24755,0.90054,0.97459,1,0.99365,0.96808,0.97459,1,0.99365,0.82157,0.25318,0.38936,0.14283,0.37135,0.31897,0.00121208,0.00121208,0.00121208
48,1475.92,0.09281,0.5139,0.1632,0.24214,0.90605,0.97397,1,0.99239,0.99239,0.97397,1,0.99239,0.82456,0.22732,0.38505,0.12937,0.32071,0.31164,0.00120736,0.00120736,0.00120736
49,1506.07,0.09032,0.50573,0.16142,0.22571,0.89529,0.99246,0.99782,0.99415,0.98065,0.95928,0.96449,0.93669,0.79839,0.18258,0.40062,0.16221,0.38612,0.24321,0.00120265,0.00120265,0.00120265
50,1536.21,0.08868,0.52234,0.16093,0.22401,0.90098,0.98993,0.99238,0.99408,0.99396,0.98993,0.99238,0.99408,0.78165,0.28921,0.4347,0.09094,0.46233,0.37056,0.00119793,0.00119793,0.00119793
51,1566.28,0.08781,0.48501,0.16312,0.21874,0.8995,0.99216,1,0.99387,0.9902,0.99216,1,0.99387,0.8526,0.22293,0.31254,0.15385,0.27066,0.28264,0.00119322,0.00119322,0.00119322
52,1596.5,0.08786,0.47053,0.15891,0.22165,0.89353,0.99421,1,0.99403,0.97334,0.99421,1,0.99403,0.81082,0.20335,0.40041,0.07092,0.31162,0.26682,0.0011885,0.0011885,0.0011885
